Frequency (Hz)	Level (dB)
1.345825	-111.752945
2.691650	-101.784714
4.037476	-97.591766
5.383301	-94.889404
6.729126	-92.680542
8.074951	-93.746567
9.420776	-89.133621
10.766602	-85.510223
12.112427	-84.033203
13.458252	-83.828094
14.804077	-84.007034
16.149902	-83.716911
17.495728	-83.187454
18.841553	-81.956955
20.187378	-81.200974
21.533203	-80.690308
22.879028	-80.694878
24.224854	-80.417801
25.570679	-80.451469
26.916504	-80.234940
28.262329	-79.637543
29.608154	-79.578156
30.953979	-79.911903
32.299805	-80.739632
33.645630	-80.815079
34.991455	-79.926346
36.337280	-79.645607
37.683105	-80.197327
39.028931	-79.627754
40.374756	-78.644958
41.720581	-78.862679
43.066406	-79.382248
44.412231	-78.402557
45.758057	-78.058861
47.103882	-77.883072
48.449707	-77.229881
49.795532	-76.827538
51.141357	-77.621994
52.487183	-76.742218
53.833008	-75.276634
55.178833	-74.737061
56.524658	-74.312012
57.870483	-74.193466
59.216309	-74.076332
60.562134	-73.976418
61.907959	-73.340157
63.253784	-73.029320
64.599609	-74.801605
65.945435	-75.860054
67.291260	-75.867546
68.637085	-75.466789
69.982910	-75.345123
71.328735	-75.506493
72.674561	-75.739647
74.020386	-75.616028
75.366211	-74.766861
76.712036	-75.251083
78.057861	-76.526321
79.403687	-76.484009
80.749512	-76.803925
82.095337	-77.360703
83.441162	-76.844009
84.786987	-76.414948
86.132812	-75.561424
87.478638	-76.676430
88.824463	-77.104836
90.170288	-76.754761
91.516113	-76.679611
92.861938	-76.615601
94.207764	-77.099411
95.553589	-77.051117
96.899414	-76.939362
98.245239	-76.985451
99.591064	-76.819527
100.936890	-76.436623
102.282715	-76.056847
103.628540	-75.690208
104.974365	-75.413277
106.320190	-75.235741
107.666016	-75.299477
109.011841	-75.108810
110.357666	-74.800247
111.703491	-74.432343
113.049316	-73.707588
114.395142	-73.670837
115.740967	-73.787445
117.086792	-73.362823
118.432617	-71.931091
119.778442	-69.159470
121.124268	-69.980629
122.470093	-72.785889
123.815918	-73.130363
125.161743	-73.219963
126.507568	-73.320801
127.853394	-72.968918
129.199219	-72.794724
130.545044	-72.990051
131.890869	-73.185257
133.236694	-73.291733
134.582520	-73.487679
135.928345	-73.321335
137.274170	-73.272980
138.619995	-73.418846
139.965820	-73.724731
141.311646	-74.075577
142.657471	-74.115234
144.003296	-74.161812
145.349121	-74.243584
146.694946	-74.336105
148.040771	-74.559929
149.386597	-74.608391
150.732422	-74.970947
152.078247	-74.611801
153.424072	-74.622414
154.769897	-74.398712
156.115723	-74.394409
157.461548	-73.193344
158.807373	-73.441666
160.153198	-74.033997
161.499023	-73.576935
162.844849	-72.993790
164.190674	-73.090408
165.536499	-72.528915
166.882324	-72.461655
168.228149	-72.338043
169.573975	-72.059677
170.919800	-71.736824
172.265625	-71.271713
173.611450	-70.954872
174.957275	-70.697350
176.303101	-70.493202
177.648926	-70.355095
178.994751	-70.062836
180.340576	-69.760201
181.686401	-69.783150
183.032227	-69.814072
184.378052	-69.672455
185.723877	-69.431908
187.069702	-69.311806
188.415527	-69.272942
189.761353	-69.140213
191.107178	-69.053291
192.453003	-69.036552
193.798828	-68.983353
195.144653	-69.000893
196.490479	-69.042000
197.836304	-68.902481
199.182129	-68.983856
200.527954	-69.131187
201.873779	-69.158310
203.219604	-69.136925
204.565430	-69.225052
205.911255	-69.161827
