Frequency (Hz)	Level (dB)
10.766602	-77.440475
21.533203	-73.280220
32.299805	-71.897476
43.066406	-70.636017
53.833008	-67.921410
64.599609	-67.563080
75.366211	-67.872284
86.132812	-67.431076
96.899414	-67.106392
107.666016	-65.673286
118.432617	-63.189053
129.199219	-63.696007
139.965820	-63.494728
150.732422	-62.363277
161.499023	-61.238239
172.265625	-59.952995
183.032227	-58.105198
193.798828	-55.731960
204.565430	-52.637192
215.332031	-49.480556
226.098633	-47.914421
236.865234	-48.969429
247.631836	-51.685078
258.398438	-54.506134
269.165039	-56.512604
279.931641	-57.954735
290.698242	-59.032501
301.464844	-59.780552
312.231445	-60.281944
322.998047	-60.560093
333.764648	-60.654354
344.531250	-60.559219
355.297852	-60.228771
366.064453	-59.785763
376.831055	-59.152565
387.597656	-58.260979
398.364258	-57.033306
409.130859	-55.380016
419.897461	-53.176765
430.664062	-50.290306
441.430664	-47.173428
452.197266	-45.750076
462.963867	-47.176899
473.730469	-50.201332
484.497070	-52.913761
495.263672	-54.826962
506.030273	-56.152081
516.796875	-57.146046
527.563477	-57.939785
538.330078	-58.541496
549.096680	-58.909775
559.863281	-59.051208
570.629883	-58.985561
581.396484	-58.715611
592.163086	-58.241192
602.929688	-57.546146
613.696289	-56.614674
624.462891	-55.384163
635.229492	-53.737602
645.996094	-51.505131
656.762695	-48.534065
667.529297	-45.343033
678.295898	-43.873688
689.062500	-45.283531
699.829102	-48.296165
710.595703	-51.015907
721.362305	-53.026146
732.128906	-54.502514
742.895508	-55.603065
753.662109	-56.393742
764.428711	-56.921848
775.195312	-57.233559
785.961914	-57.331734
796.728516	-57.212322
807.495117	-56.900700
818.261719	-56.394714
829.028320	-55.854950
839.794922	-55.132977
850.561523	-53.841152
861.328125	-52.033646
872.094727	-49.615402
882.861328	-46.416142
893.627930	-43.194176
904.394531	-42.187267
915.161133	-44.194759
925.927734	-47.429745
936.694336	-49.963318
947.460938	-51.685936
958.227539	-52.975693
968.994141	-53.998791
979.760742	-54.768078
990.527344	-55.277142
1001.293945	-55.564903
1012.060547	-55.654022
1022.827148	-55.542492
1033.593750	-55.233246
1044.360352	-54.716640
1055.126953	-53.950909
1065.893555	-52.916920
1076.660156	-51.564156
1087.426758	-49.783123
1098.193359	-47.393002
1108.959961	-44.195248
1119.726562	-40.868305
1130.493164	-39.724979
1141.259766	-41.777920
1152.026367	-45.334328
1162.792969	-48.424988
1173.559570	-50.720196
1184.326172	-52.352615
1195.092773	-53.457401
1205.859375	-54.178429
1216.625977	-54.599422
1227.392578	-54.783752
1238.159180	-54.790047
1248.925781	-54.613415
1259.692383	-54.264015
1270.458984	-53.734955
1281.225586	-53.003338
1291.992188	-52.009415
1302.758789	-50.664997
1313.525391	-48.858173
1324.291992	-46.396587
1335.058594	-43.087841
1345.825195	-39.763115
1356.591797	-38.839230
1367.358398	-41.045734
1378.125000	-44.433693
1388.891602	-47.135754
1399.658203	-49.068222
1410.424805	-50.460350
1421.191406	-51.473679
1431.958008	-52.181347
1442.724609	-52.638546
1453.491211	-52.882820
1464.257812	-52.920033
1475.024414	-52.756454
1485.791016	-52.400341
1496.557617	-51.851929
1507.324219	-51.084446
1518.090820	-50.053101
1528.857422	-48.683758
1539.624023	-46.854534
1550.390625	-44.384792
1561.157227	-41.094170
1571.923828	-37.842224
1582.690430	-36.968575
1593.457031	-39.167637
1604.223633	-42.484501
1614.990234	-45.157379
1625.756836	-47.078243
1636.523438	-48.469803
1647.290039	-49.478794
1658.056641	-50.192188
1668.823242	-50.647762
1679.589844	-50.877178
1690.356445	-50.906776
1701.123047	-50.733757
1711.889648	-50.360596
1722.656250	-49.771858
1733.422852	-48.939415
1744.189453	-47.826977
1754.956055	-46.363922
1765.722656	-44.433247
1776.489258	-41.844780
1787.255859	-38.557293
1798.022461	-35.792744
1808.789062	-35.614388
1819.555664	-38.082523
1830.322266	-41.160973
1841.088867	-43.530327
1851.855469	-45.230633
1862.622070	-46.473431
1873.388672	-47.396770
1884.155273	-48.059486
1894.921875	-48.491398
1905.688477	-48.706764
1916.455078	-48.714890
1927.221680	-48.524899
1937.988281	-48.132446
1948.754883	-47.524712
1959.521484	-46.675747
1970.288086	-45.536102
1981.054688	-44.036564
1991.821289	-42.049046
2002.587891	-39.384895
2013.354492	-36.047455
2024.121094	-33.403145
2034.887695	-33.450249
2045.654297	-36.012676
2056.420898	-39.010700
2067.187500	-41.299976
2077.954102	-42.965923
2088.720703	-44.195667
2099.487305	-45.094898
2110.253906	-45.718155
2121.020508	-46.103828
2131.787109	-46.273998
2142.553711	-46.245300
2153.320312	-46.022488
2164.086914	-45.600044
2174.853516	-44.966957
2185.620117	-44.096539
2196.386719	-42.946945
2207.153320	-41.445801
2217.919922	-39.470428
2228.686523	-36.842945
2239.453125	-33.582855
2250.219727	-30.991457
2260.986328	-30.990540
2271.752930	-33.478493
2282.519531	-36.467297
2293.286133	-38.796940
2304.052734	-40.489239
2314.819336	-41.718773
2325.585938	-42.598976
2336.352539	-43.200970
2347.119141	-43.565083
2357.885742	-43.716625
2368.652344	-43.665165
2379.418945	-43.417877
2390.185547	-42.969879
2400.952148	-42.308350
2411.718750	-41.406269
2422.485352	-40.220654
2433.251953	-38.678303
2444.018555	-36.665142
2454.785156	-34.051350
2465.551758	-31.029819
2476.318359	-28.971836
2487.084961	-29.363836
2497.851562	-31.775612
2508.618164	-34.474346
2519.384766	-36.594685
2530.151367	-38.159912
2540.917969	-39.306046
2551.684570	-40.129883
2562.451172	-40.692333
2573.217773	-41.030678
2583.984375	-41.164829
2594.750977	-41.105312
2605.517578	-40.854801
2616.284180	-40.405579
2627.050781	-39.743847
2637.817383	-38.842304
2648.583984	-37.657070
2659.350586	-36.122814
2670.117188	-34.138447
2680.883789	-31.613018
2691.650391	-28.822136
2702.416992	-27.047215
2713.183594	-27.520844
2723.950195	-29.782618
2734.716797	-32.307747
2745.483398	-34.340134
2756.250000	-35.865704
2767.016602	-36.994179
2777.783203	-37.810234
2788.549805	-38.368332
2799.316406	-38.703423
2810.083008	-38.834972
2820.849609	-38.774326
2831.616211	-38.524887
2842.382812	-38.080936
2853.149414	-37.427967
2863.916016	-36.540997
2874.682617	-35.382637
2885.449219	-33.896767
2896.215820	-32.009468
2906.982422	-29.702221
2917.749023	-27.327440
2928.515625	-25.949690
2939.282227	-26.453396
2950.048828	-28.421562
2960.815430	-30.678541
2971.582031	-32.583183
2982.348633	-34.064934
2993.115234	-35.191704
3003.881836	-36.027603
3014.648438	-36.619507
3025.415039	-36.995892
3036.181641	-37.177296
3046.948242	-37.173351
3057.714844	-36.984257
3068.481445	-36.605072
3079.248047	-36.023464
3090.014648	-35.217823
3100.781250	-34.151741
3111.547852	-32.773529
3122.314453	-31.021917
3133.081055	-28.891563
3143.847656	-26.701235
3154.614258	-25.396812
3165.380859	-25.799559
3176.147461	-27.617165
3186.914062	-29.819294
3197.680664	-31.740826
3208.447266	-33.266602
3219.213867	-34.446213
3229.980469	-35.336697
3240.747070	-35.983368
3251.513672	-36.415791
3262.280273	-36.654366
3273.046875	-36.704880
3283.813477	-36.571472
3294.580078	-36.251541
3305.346680	-35.729973
3316.113281	-34.985676
3326.879883	-33.982319
3337.646484	-32.667397
3348.413086	-30.984800
3359.179688	-28.929892
3369.946289	-26.813522
3380.712891	-25.555069
3391.479492	-25.980619
3402.246094	-27.813543
3413.012695	-30.030029
3423.779297	-31.974197
3434.545898	-33.525505
3445.312500	-34.728161
3456.079102	-35.639259
3466.845703	-36.303925
3477.612305	-36.754162
3488.378906	-37.008930
3499.145508	-37.078751
3509.912109	-36.964989
3520.678711	-36.661743
3531.445312	-36.152470
3542.211914	-35.412796
3552.978516	-34.410210
3563.745117	-33.091316
3574.511719	-31.397625
3585.278320	-29.335693
3596.044922	-27.250374
3606.811523	-26.076809
3617.578125	-26.596529
3628.344727	-28.467375
3639.111328	-30.666460
3649.877930	-32.581276
3660.644531	-34.108784
3671.411133	-35.294704
3682.177734	-36.195183
3692.944336	-36.851097
3703.710938	-37.290962
3714.477539	-37.530697
3725.244141	-37.581383
3736.010742	-37.443985
3746.777344	-37.113396
3757.543945	-36.576118
3768.310547	-35.806934
3779.077148	-34.769009
3789.843750	-33.411491
3800.610352	-31.683571
3811.376953	-29.621628
3822.143555	-27.638844
3832.910156	-26.685698
3843.676758	-27.399309
3854.443359	-29.313862
3865.209961	-31.448458
3875.976562	-33.283455
3886.743164	-34.742008
3897.509766	-35.872375
3908.276367	-36.724857
3919.042969	-37.338699
3929.809570	-37.739296
3940.576172	-37.943863
3951.342773	-37.960094
3962.109375	-37.788132
3972.875977	-37.420238
3983.642578	-36.843102
3994.409180	-36.034477
4005.175781	-34.956741
4015.942383	-33.570385
4026.708984	-31.848249
4037.475586	-29.886333
4048.242188	-28.163366
4059.008789	-27.523579
4069.775391	-28.371767
4080.541992	-30.189226
4091.308594	-32.153103
4102.075195	-33.849789
4112.841797	-35.213097
4123.608398	-36.273777
4134.375000	-37.074852
4145.141602	-37.650703
4155.908203	-38.022835
4166.674805	-38.204185
4177.441406	-38.201550
4188.208008	-38.016426
4198.974609	-37.642464
4209.741211	-37.060947
4220.507812	-36.250702
4231.274414	-35.183926
4242.041016	-33.824623
4252.807617	-32.174206
4263.574219	-30.401793
4274.340820	-29.047295
4285.107422	-28.818983
4295.874023	-29.889675
4306.640625	-31.694332
4317.407227	-33.556831
4328.173828	-35.168190
