Frequency (Hz)	Level (dB)
1.345825	-112.021729
2.691650	-101.715828
4.037476	-97.423065
5.383301	-95.388763
6.729126	-93.127106
8.074951	-93.102898
9.420776	-89.558983
10.766602	-85.659554
12.112427	-83.715858
13.458252	-84.188133
14.804077	-85.988426
16.149902	-84.930290
17.495728	-83.891136
18.841553	-82.344215
20.187378	-82.707870
21.533203	-81.556244
22.879028	-80.744850
24.224854	-80.811462
25.570679	-81.105759
26.916504	-80.015373
28.262329	-79.649132
29.608154	-79.547997
30.953979	-81.576393
32.299805	-81.520889
33.645630	-80.971268
34.991455	-79.982002
36.337280	-79.745285
37.683105	-80.643555
39.028931	-79.951256
40.374756	-79.548912
41.720581	-79.911835
43.066406	-79.583855
44.412231	-78.862579
45.758057	-79.869614
47.103882	-78.632545
48.449707	-77.892662
49.795532	-77.123543
51.141357	-77.336533
52.487183	-77.263329
53.833008	-76.751785
55.178833	-75.554649
56.524658	-75.028023
57.870483	-74.586166
59.216309	-74.424850
60.562134	-74.318413
61.907959	-73.728401
63.253784	-73.670166
64.599609	-75.512917
65.945435	-77.161140
67.291260	-77.568291
68.637085	-76.506577
69.982910	-75.606361
71.328735	-75.826660
72.674561	-75.709328
74.020386	-75.896400
75.366211	-76.369705
76.712036	-76.834549
78.057861	-77.463013
79.403687	-77.849625
80.749512	-77.877800
82.095337	-77.844978
83.441162	-77.588898
84.786987	-77.311012
86.132812	-77.099777
87.478638	-77.333305
88.824463	-77.817482
90.170288	-76.969780
91.516113	-76.859131
92.861938	-77.937294
94.207764	-77.486580
95.553589	-77.880051
96.899414	-77.971817
98.245239	-77.777489
99.591064	-77.814835
100.936890	-77.575714
102.282715	-76.911804
103.628540	-76.277267
104.974365	-76.368134
106.320190	-75.771210
107.666016	-76.118469
109.011841	-76.133186
110.357666	-75.547165
111.703491	-75.285240
113.049316	-74.693161
114.395142	-74.031235
115.740967	-74.244949
117.086792	-74.133217
118.432617	-73.493431
119.778442	-71.877792
121.124268	-72.303436
122.470093	-74.138550
123.815918	-74.303391
125.161743	-74.276085
126.507568	-74.100227
127.853394	-73.986671
129.199219	-74.129570
130.545044	-74.304573
131.890869	-74.407944
133.236694	-74.375015
134.582520	-74.381142
135.928345	-74.363640
137.274170	-74.710815
138.619995	-74.769165
139.965820	-74.549339
141.311646	-75.012680
142.657471	-75.089195
144.003296	-75.478127
145.349121	-75.105240
146.694946	-75.050407
148.040771	-75.486748
149.386597	-75.985832
150.732422	-75.825890
152.078247	-75.719185
153.424072	-75.562408
154.769897	-75.882614
156.115723	-75.520363
157.461548	-75.252708
158.807373	-75.013725
160.153198	-74.864334
161.499023	-74.659500
162.844849	-74.245789
164.190674	-74.430595
165.536499	-74.145653
166.882324	-73.822517
168.228149	-73.734833
169.573975	-73.440208
170.919800	-72.950966
