Frequency (Hz)	Level (dB)
10.766602	-70.291069
21.533203	-72.007553
32.299805	-70.797935
43.066406	-69.570000
53.833008	-66.831451
64.599609	-66.182121
75.366211	-66.677658
86.132812	-66.249863
96.899414	-65.683914
107.666016	-64.308655
118.432617	-62.013279
129.199219	-62.306393
139.965820	-61.998383
150.732422	-60.845783
161.499023	-59.737869
172.265625	-58.388382
183.032227	-56.592682
193.798828	-54.230927
204.565430	-51.170982
215.332031	-47.995415
226.098633	-46.389614
236.865234	-47.326210
247.631836	-49.972546
258.398438	-52.892166
269.165039	-54.910259
279.931641	-56.389008
290.698242	-57.445686
301.464844	-58.204330
312.231445	-58.727814
322.998047	-59.043480
333.764648	-59.132675
344.531250	-59.038212
355.297852	-58.808155
366.064453	-58.390682
376.831055	-57.749752
387.597656	-56.860462
398.364258	-55.698483
409.130859	-54.124847
419.897461	-52.012238
430.664062	-49.221687
441.430664	-46.035831
452.197266	-44.253540
462.963867	-45.314159
473.730469	-48.275745
484.497070	-51.130619
495.263672	-53.210918
506.030273	-54.629078
516.796875	-55.644028
527.563477	-56.451855
538.330078	-57.056568
549.096680	-57.452274
559.863281	-57.638802
570.629883	-57.614414
581.396484	-57.389534
592.163086	-56.970596
602.929688	-56.314358
613.696289	-55.436775
624.462891	-54.301765
635.229492	-52.768143
645.996094	-50.707439
656.762695	-47.923115
667.529297	-44.629784
678.295898	-42.548206
689.062500	-43.307667
699.829102	-46.162998
710.595703	-49.053127
721.362305	-51.240547
732.128906	-52.834919
742.895508	-54.030426
753.662109	-54.898312
764.428711	-55.502087
775.195312	-55.877785
785.961914	-56.025593
796.728516	-55.977581
807.495117	-55.718929
818.261719	-55.282768
829.028320	-54.811363
839.794922	-54.191582
850.561523	-53.023075
861.328125	-51.377426
872.094727	-49.198875
882.861328	-46.276833
893.627930	-42.854816
904.394531	-40.845905
915.161133	-41.901863
925.927734	-44.997055
936.694336	-47.846004
947.460938	-49.813530
958.227539	-51.260921
968.994141	-52.401325
979.760742	-53.263577
990.527344	-53.863331
1001.293945	-54.235332
1012.060547	-54.395973
1022.827148	-54.361217
1033.593750	-54.134212
1044.360352	-53.694218
1055.126953	-53.037598
1065.893555	-52.128475
1076.660156	-50.925453
1087.426758	-49.343510
1098.193359	-47.242596
1108.959961	-44.400051
1119.726562	-40.910946
1130.493164	-38.548252
1141.259766	-39.292015
1152.026367	-42.560131
1162.792969	-46.004841
1173.559570	-48.645859
1184.326172	-50.542980
1195.092773	-51.855637
1205.859375	-52.728474
1216.625977	-53.264572
1227.392578	-53.547306
1238.159180	-53.627792
1248.925781	-53.538441
1259.692383	-53.275219
1270.458984	-52.846725
1281.225586	-52.230896
1291.992188	-51.378967
1302.758789	-50.222157
1313.525391	-48.675705
1324.291992	-46.583328
1335.058594	-43.715969
1345.825195	-40.130562
1356.591797	-37.649303
1367.358398	-38.324753
1378.125000	-41.454433
1388.891602	-44.630665
1399.658203	-46.938557
1410.424805	-48.600422
1421.191406	-49.805607
1431.958008	-50.664406
1442.724609	-51.256618
1453.491211	-51.617935
1464.257812	-51.763939
