Frequency (Hz)	Level (dB)
10.766602	-27.419188
21.533203	-26.871643
32.299805	-26.836178
43.066406	-26.828873
53.833008	-26.830585
64.599609	-26.829916
75.366211	-26.830763
86.132812	-26.830528
96.899414	-26.830378
107.666016	-26.830450
118.432617	-26.830362
129.199219	-26.830500
139.965820	-26.830463
150.732422	-26.830425
161.499023	-26.830441
172.265625	-26.830418
183.032227	-26.830456
193.798828	-26.830456
204.565430	-26.830433
215.332031	-26.830442
226.098633	-26.830441
236.865234	-26.830439
247.631836	-26.830446
258.398438	-26.830439
269.165039	-26.830442
279.931641	-26.830446
290.698242	-26.830437
301.464844	-26.830437
312.231445	-26.830444
322.998047	-26.830441
333.764648	-26.830441
344.531250	-26.830442
355.297852	-26.830442
366.064453	-26.830439
376.831055	-26.830442
387.597656	-26.830441
398.364258	-26.830441
409.130859	-26.830441
419.897461	-26.830442
430.664062	-26.830439
441.430664	-26.830442
452.197266	-26.830442
462.963867	-26.830442
473.730469	-26.830441
484.497070	-26.830442
495.263672	-26.830441
506.030273	-26.830441
516.796875	-26.830441
527.563477	-26.830444
538.330078	-26.830441
549.096680	-26.830442
559.863281	-26.830442
570.629883	-26.830442
581.396484	-26.830441
592.163086	-26.830441
602.929688	-26.830442
613.696289	-26.830442
624.462891	-26.830442
635.229492	-26.830441
645.996094	-26.830442
656.762695	-26.830441
667.529297	-26.830441
678.295898	-26.830442
689.062500	-26.830441
699.829102	-26.830442
710.595703	-26.830441
721.362305	-26.830441
732.128906	-26.830442
742.895508	-26.830441
753.662109	-26.830441
764.428711	-26.830441
775.195312	-26.830442
785.961914	-26.830442
796.728516	-26.830441
807.495117	-26.830441
818.261719	-26.830442
829.028320	-26.830442
839.794922	-26.830441
850.561523	-26.830441
861.328125	-26.830441
872.094727	-26.830442
882.861328	-26.830442
893.627930	-26.830442
904.394531	-26.830442
915.161133	-26.830441
925.927734	-26.830441
936.694336	-26.830441
947.460938	-26.830441
958.227539	-26.830441
968.994141	-26.830442
979.760742	-26.830441
990.527344	-26.830441
1001.293945	-26.830442
1012.060547	-26.830441
1022.827148	-26.830441
1033.593750	-26.830442
1044.360352	-26.830441
1055.126953	-26.830441
1065.893555	-26.830441
1076.660156	-26.830442
1087.426758	-26.830442
1098.193359	-26.830441
1108.959961	-26.830442
1119.726562	-26.830441
1130.493164	-26.830442
1141.259766	-26.830441
1152.026367	-26.830442
1162.792969	-26.830441
1173.559570	-26.830441
1184.326172	-26.830442
1195.092773	-26.830441
1205.859375	-26.830442
1216.625977	-26.830442
1227.392578	-26.830441
1238.159180	-26.830442
1248.925781	-26.830441
1259.692383	-26.830441
1270.458984	-26.830441
1281.225586	-26.830441
1291.992188	-26.830442
1302.758789	-26.830442
1313.525391	-26.830441
1324.291992	-26.830441
1335.058594	-26.830442
1345.825195	-26.830441
1356.591797	-26.830441
1367.358398	-26.830442
1378.125000	-26.830441
1388.891602	-26.830442
1399.658203	-26.830442
1410.424805	-26.830442
1421.191406	-26.830441
1431.958008	-26.830441
1442.724609	-26.830442
1453.491211	-26.830442
1464.257812	-26.830442
1475.024414	-26.830441
1485.791016	-26.830441
1496.557617	-26.830441
1507.324219	-26.830442
1518.090820	-26.830441
1528.857422	-26.830441
1539.624023	-26.830441
1550.390625	-26.830441
1561.157227	-26.830441
1571.923828	-26.830441
1582.690430	-26.830441
1593.457031	-26.830441
1604.223633	-26.830442
1614.990234	-26.830441
1625.756836	-26.830442
1636.523438	-26.830442
1647.290039	-26.830441
1658.056641	-26.830442
1668.823242	-26.830442
1679.589844	-26.830442
1690.356445	-26.830441
1701.123047	-26.830441
1711.889648	-26.830441
1722.656250	-26.830442
1733.422852	-26.830442
1744.189453	-26.830441
1754.956055	-26.830442
1765.722656	-26.830441
1776.489258	-26.830441
1787.255859	-26.830442
1798.022461	-26.830442
1808.789062	-26.830442
1819.555664	-26.830441
1830.322266	-26.830441
1841.088867	-26.830441
1851.855469	-26.830442
1862.622070	-26.830442
1873.388672	-26.830442
1884.155273	-26.830442
1894.921875	-26.830441
1905.688477	-26.830441
1916.455078	-26.830442
1927.221680	-26.830442
1937.988281	-26.830441
1948.754883	-26.830441
1959.521484	-26.830442
1970.288086	-26.830441
1981.054688	-26.830442
1991.821289	-26.830442
2002.587891	-26.830441
2013.354492	-26.830442
2024.121094	-26.830442
2034.887695	-26.830441
2045.654297	-26.830441
2056.420898	-26.830442
2067.187500	-26.830442
2077.954102	-26.830441
2088.720703	-26.830441
2099.487305	-26.830441
2110.253906	-26.830441
2121.020508	-26.830442
2131.787109	-26.830441
2142.553711	-26.830442
2153.320312	-26.830441
2164.086914	-26.830442
2174.853516	-26.830442
2185.620117	-26.830441
2196.386719	-26.830442
2207.153320	-26.830442
2217.919922	-26.830442
2228.686523	-26.830441
2239.453125	-26.830442
2250.219727	-26.830441
2260.986328	-26.830442
2271.752930	-26.830441
2282.519531	-26.830441
2293.286133	-26.830441
2304.052734	-26.830442
2314.819336	-26.830441
2325.585938	-26.830441
2336.352539	-26.830442
2347.119141	-26.830441
2357.885742	-26.830441
2368.652344	-26.830442
2379.418945	-26.830441
2390.185547	-26.830441
2400.952148	-26.830441
2411.718750	-26.830441
2422.485352	-26.830441
2433.251953	-26.830441
2444.018555	-26.830441
2454.785156	-26.830442
2465.551758	-26.830441
2476.318359	-26.830442
2487.084961	-26.830441
2497.851562	-26.830441
2508.618164	-26.830441
2519.384766	-26.830441
2530.151367	-26.830441
2540.917969	-26.830441
2551.684570	-26.830442
2562.451172	-26.830441
2573.217773	-26.830441
2583.984375	-26.830442
2594.750977	-26.830441
2605.517578	-26.830441
2616.284180	-26.830441
2627.050781	-26.830442
2637.817383	-26.830442
2648.583984	-26.830441
2659.350586	-26.830441
2670.117188	-26.830442
2680.883789	-26.830442
2691.650391	-26.830441
2702.416992	-26.830441
2713.183594	-26.830442
2723.950195	-26.830442
2734.716797	-26.830442
2745.483398	-26.830441
2756.250000	-26.830441
2767.016602	-26.830441
2777.783203	-26.830441
2788.549805	-26.830442
2799.316406	-26.830441
2810.083008	-26.830441
2820.849609	-26.830441
2831.616211	-26.830441
2842.382812	-26.830442
2853.149414	-26.830441
2863.916016	-26.830442
2874.682617	-26.830441
2885.449219	-26.830442
2896.215820	-26.830442
2906.982422	-26.830441
2917.749023	-26.830441
2928.515625	-26.830441
2939.282227	-26.830441
2950.048828	-26.830442
2960.815430	-26.830441
2971.582031	-26.830441
2982.348633	-26.830441
2993.115234	-26.830441
3003.881836	-26.830442
3014.648438	-26.830442
3025.415039	-26.830442
3036.181641	-26.830441
3046.948242	-26.830442
3057.714844	-26.830442
3068.481445	-26.830442
3079.248047	-26.830441
3090.014648	-26.830442
3100.781250	-26.830441
3111.547852	-26.830441
3122.314453	-26.830442
3133.081055	-26.830442
3143.847656	-26.830442
3154.614258	-26.830442
3165.380859	-26.830441
3176.147461	-26.830441
3186.914062	-26.830442
3197.680664	-26.830441
3208.447266	-26.830442
3219.213867	-26.830441
3229.980469	-26.830441
3240.747070	-26.830442
3251.513672	-26.830441
3262.280273	-26.830441
3273.046875	-26.830442
3283.813477	-26.830441
3294.580078	-26.830442
3305.346680	-26.830442
3316.113281	-26.830441
3326.879883	-26.830441
3337.646484	-26.830441
3348.413086	-26.830442
3359.179688	-26.830441
3369.946289	-26.830441
3380.712891	-26.830441
3391.479492	-26.830441
3402.246094	-26.830442
3413.012695	-26.830441
3423.779297	-26.830442
3434.545898	-26.830441
3445.312500	-26.830442
3456.079102	-26.830441
3466.845703	-26.830441
3477.612305	-26.830442
3488.378906	-26.830441
3499.145508	-26.830441
3509.912109	-26.830441
3520.678711	-26.830442
3531.445312	-26.830442
3542.211914	-26.830442
3552.978516	-26.830441
3563.745117	-26.830442
3574.511719	-26.830441
3585.278320	-26.830442
3596.044922	-26.830442
3606.811523	-26.830441
3617.578125	-26.830441
3628.344727	-26.830442
3639.111328	-26.830441
